Start Time (s),Duration (s),Text
2021.159,5.64,नहीं की फिर वह तुम्हें क्यों नहीं याद कर
2023.679,7.12,रहा जैसा तुम उसे याद कर रही हो नाश्ता कर
2026.799,4.0,लो खा लो कुछ प्लीज
2045.92,8.64,[संगीत]
2050.96,4.76,तुम्हें क्या लगता है तुम सारा मलवा
2054.56,5.88,दूसरों पर
2055.72,7.28,डालकर खुद मासूम बनकर बरोल जमा हो जाओगे
2060.44,5.0,चलो मान लिया मान लिया तुम पर जुल्म हुआ
2063.0,4.399,तुम्हारी बहुत हसरतें थी लेकिन तुम्हारे
2065.44,2.959,साथ जो जो हुआ क्या तुमने उसका बदला नहीं
2067.399,3.561,लिया
2068.399,4.361,अपनी मर्दाना अना की तस्कीन के लिए कमजोर
2070.96,4.32,लड़की को बर्बाद
2072.76,4.96,कर यू लिसन टू मी
2075.28,4.079,रा तुम्हें क्यों ऐसा लगता है कि तुम्हें
2077.72,3.919,सिर्फ मुझसे माफी दरकार
2079.359,5.201,है और किससे
2081.639,5.24,समी मैंने तुम्ह हर्ट किया
2084.56,8.519,[संगीत]
2086.879,9.8,है सिर्फ मुझे हट कि तो और कौन हां तुमसे
2093.079,5.961,क्या बात की जाए खम तुम्हें पता है मैं
2096.679,6.201,कही दिन उ से अपने साथ इस होने वाले धोखे
2099.04,4.6,को लेकर रोती रही बहुत शिकवा किया कि मैं
2102.88,4.16,ही
2103.64,6.439,क्यों यहां तक कि यह दिल चाहा कि मैं मर
2107.04,4.799,जाऊ मुझे लगा मेरे से ज्यादा मेरे से
2110.079,4.161,ज्यादा दुखी इंसान इस दुनिया में हो ही
2111.839,4.881,नहीं सकता लेकिन एक दिन एक दिन मेरे जहन
2114.24,2.48,में आई
2118.24,3.28,हालत और मेरा सारा
2120.4,5.6,[संगीत]
2121.52,7.0,गुस्सा मेरा सारा दुख धोए की तरह उड़
2126.0,4.8,गया क्योंकि तुमने मेरा तो कुछ नहीं
2128.52,3.12,बिगाड़ा लेकिन तुमने उसके पास कुछ रहने
2130.8,3.96,नहीं
2131.64,5.32,दिया नहीं समल तुम्हारी सच्ची या झूठी वजू
2134.76,5.4,हात ने एक पूरा खानदान बर्बाद करके रख
2136.96,5.92,दिया खुर्रम हाला का खानदान उसका शौहर
2140.16,4.64,उसका बच्चा तुम मुझे अपनी यतीमी की
2142.88,4.52,मजबूरियों के किस्से सुनाते
2144.8,6.0,थे तुम्हें यह भी नहीं पता कि तुमने एक
2147.4,5.0,बच्चे की पूरी जिंदगी मजबूर कर दी जो अब
2150.8,5.6,इस दुनिया में आया तक
2152.4,7.0,नहीं मेरा मुस्तकबिल रोशन है मैं मैं
2156.4,5.08,तुम्हारे इस धोखे से ना उभर आई
2159.4,4.9,हूं लेकिन वो
2161.48,4.56,हाल गोते खा
2164.3,5.14,[संगीत]
2166.04,4.36,रही अगर तुम्हें किसी से माफी मांगनी है
2169.44,5.67,ना
2170.4,20.08,ख तो जाके उस हाला से मांगो
2175.11,19.33,[संगीत]
2190.48,5.68,तुम अभी तक घर पर हो और उसी लिए में
2194.44,5.32,तुम्हें तो फैक्ट्री के काम से जाना नहीं
2196.16,5.4,था बस निकल रहा हूं तीन घंटे के बाद वापस
2199.76,4.92,लौटी हूं मैं
2201.56,8.0,और कमरे का क्या हाल बनाया हुआ है
2204.68,4.88,तुमने इतने बेतरतीब तो तुम कभी भी नहीं
2211.92,5.32,थे यह कर गई अम्मी मुझे बेहतर थी
2219.079,5.801,सब कुछ बिखर
2220.48,7.56,गया अच्छा इसके साथ गुजारे हैं तीन
2224.88,7.8,घंटे क्या कह रही
2228.04,8.799,थी मुझसे बात ही कहां करती है
2232.68,8.32,अम्मी व बात नहीं करती और
2236.839,4.161,मैं मैं हिम्मत नहीं जुटा
2241.48,8.04,पाता अल्फाज ही खत्म
2244.079,5.441,हो किस बात की हिम्मत उसका हाल पूछने की
2250.92,5.72,अमी पिछले तीन घंटे में तीन लफ्ज नहीं
2254.359,2.281,जोड़
2257.0,5.079,पाया कैसी हो
2259.28,5.36,हाला हाल उन्हीं का पूछा जाता है जिनकी
2262.079,2.561,चाल अच्छी
2264.8,6.4,हो चाल समझते हो चाल चलन अम्मी
2272.44,4.36,प्लीज बस करते
2277.56,6.44,हेलो मरियम सब ठीक है हाला ठीक है जहां तक
2281.76,5.68,मुझे याद है तुमने जाते हुए आते रहने का
2284.0,5.319,कहा था एनी वेयर एनी टाइम इस घर के दरवाजे
2287.44,6.48,तुम पर बंद नहीं किए
2289.319,7.04,गए क्या हुआ सब सब ठीक है ला ठीक है अभी
2293.92,5.24,तक तो नहीं लेकिन तुम्हारी बीवी भूखा रह
2296.359,5.24,के ना जाने किसे सजा दे रही है उसने रात
2299.16,5.72,से कुछ नहीं खाया तुम्हें तो पता है ना
2301.599,6.441,उसके लिए कितना डेंजरस है ये वैसे बाय द
2304.88,6.4,वे इस वक्त कहां हो तुम घर पे
2308.04,5.44,नहीं मैं रास्ते में हूं खाना पैक करवा के
2311.28,4.079,आ रहा ला से पूछो उसने कुछ खाना है इट
2313.48,4.24,मींस तुम आ रहे
2315.359,5.641,हो समझो पहुंच
2317.72,3.28,ग सी
2322.599,5.921,यू तुम नहीं जाओगे
2325.76,5.88,हमजा मैं तुम्ह नहीं जाने
2328.52,6.04,दूंगी आपको लगता है मैं रुकूंगा रुकना
2331.64,7.04,पड़ेगा तुम्ह उसे छोड़ना पड़ेगा कब कैसे
2334.56,6.32,ये मैं तुम पर छोड़ती नहीं छोड़ सकता
2338.68,3.08,लोग तो नफरत जैसी नफरत करने वाली चीजों को
2340.88,3.68,नहीं
2341.76,5.599,छोड़ते य तो फिर मोहब्बत क्या मोहब्बत
2344.56,5.16,मोहब्बत लगा रखी है कोई मोहब्बत मोहब्बत
2347.359,5.601,नहीं है एक आदत है एक बेजोड़ रिश्ते की
2349.72,5.16,वजह से तुम इस आदत में पड़ गए हो तुम चार
2352.96,4.56,दिन उससे दूर रहोगे य आदत छूट जाएगी तुम
2354.88,2.64,भूल जाओगे क्या
2359.119,4.921,तुमसे लगता है अम्मी आप कभी एडिक्ट से
2363.079,5.801,नहीं
2364.04,7.12,मिली हाथ तो नहीं छूटती उनकी
2368.88,4.4,तुम्हारी कोई बात नहीं सुनूंगी हमजा कोई
2371.16,5.4,बात नहीं सुनूंगी मैं तुम्हें उस बद
2373.28,3.28,किरदार औरत के पास नहीं जाने
2376.68,6.72,द आप उसके बारे में अपने अल्फाज वापस
2379.359,7.48,लीजिए प्लीज अच्छा तो तुम्ह यह ल पसंद
2383.4,7.76,नहीं आया कोई बात नहीं दुनिया की हर जबान
2386.839,7.401,में ऐसी औरतो के लिए हजारों प् म चिल्लाओ
2391.16,7.0,हम हाला के बारे में अपने
2394.24,6.56,वास ऐसा कभी नहीं होगा हमजा वो है ही ऐसी
2398.16,7.48,औरत शौहर के साथ-साथ उसने एक आशिक भी रखा
2400.8,4.84,हुआ है मम्मी प्लीज हमसा वो ऐसी नहीं
2406.78,13.819,[संगीत]
2413.28,10.76,है तकदीर जब से तुझसे जुड़ी है जामे
2420.599,5.801,मोहब्बत जहे आशकी
2424.04,4.319,है अगर तुम्हें मुझे वर्ड्स में
2426.4,3.6,डिस्क्राइब करना हू कि मैं कैसा आदमी हूं
2428.359,4.0,तो कैसे
2430.0,4.839,करोगे मेहरबान
2432.359,5.681,ंग जान लुटा देने
2434.839,6.0,वा ऐसे आदमी को तो अपने से कुछ पल के लिए
2438.04,5.0,भी अलग नहीं करना चाहिए कैसी गीदर सिंघी
2440.839,4.52,सुंघा है उसने तुम्ह या अल्लाह मेरा बेटा
2443.04,4.2,तो उसके दामन से वजू करने के लिए तैयार है
2445.359,4.601,मैं अगर अपनी हाला को सफाई पेश करने को
2447.24,5.28,कहू ना तो वो चलते कोलो पर चलकर दिखा दे
2449.96,4.399,मुझे और उसने जो मुझे आईना दिखाया ला वो
2452.52,3.839,बदसूरत शख्स मैंने अपनी जिंदगी में कभी
2454.359,4.601,नहीं देखा तुमने जो मेरे साथ किया वो ठीक
2456.359,5.521,था तुमने की आंखें नहीं देखी थी उसने जब
2458.96,5.24,खुरम को तुम्हारे साथ यहां देखा है मैं
2461.88,4.84,तुम गुर की बात बताऊ तुम बच्चे को लेकर
2464.2,5.76,अपने बाप के साथ चली जाओ ना बच्चे से हाथ
2466.72,3.24,धो बैठो
